"","LFC","padj","DE"
"Cre03.g197950",2.26275194462522,0.0189486614719054,TRUE
"Cre03.g198400",-2.02163705391521,8.68228704308204e-08,TRUE
"Cre03.g199050",-5.35361882411916,6.16504094521509e-14,TRUE
"Cre03.g199500",-3.45300454945978,9.35056128696817e-38,TRUE
"Cre03.g200150",-2.38860475304473,9.69250436666037e-14,TRUE
"Cre03.g200700",-2.01440653835384,5.36532326603721e-17,TRUE
"Cre03.g200850",-2.76096850435895,1.66780679911517e-13,TRUE
"Cre03.g201550",-4.49036792419161,3.467329811449e-21,TRUE
"Cre03.g201900",-2.30855085208458,1.00689388977035e-29,TRUE
"Cre03.g201950",-2.10302818980417,9.18753198618442e-11,TRUE
"Cre03.g203500",-2.3012223911625,1.24557647200071e-06,TRUE
"Cre03.g204212",-2.92228245459802,3.3142038045252e-05,TRUE
"Cre03.g204500",-7.13994474532649,9.45425329130987e-26,TRUE
"Cre03.g207300",3.15052664268459,0.000750964509876991,TRUE
"Cre03.g207800",7.01011401714906,2.06656506577517e-52,TRUE
"Cre04.g211750",-3.16139820874898,1.13023865950691e-30,TRUE
"Cre04.g212700",-2.75485366998525,1.35496304161022e-27,TRUE
"Cre04.g213000",-2.15501105425364,9.12282935625992e-11,TRUE
"Cre04.g214550",2.34287085916285,0.0244168091627954,TRUE
"Cre04.g214600",-2.91354886053346,2.53059357964506e-14,TRUE
"Cre04.g215050",-2.24505615216789,2.29547922936826e-05,TRUE
"Cre04.g215200",3.74420581023326,0.00117884099486288,TRUE
"Cre04.g215700",-3.45378459695704,9.2159756049206e-07,TRUE
"Cre04.g215900",-2.14186616933676,6.19442679453702e-10,TRUE
"Cre04.g216811",-2.85696641738147,1.05412647488132e-16,TRUE
"Cre04.g218950",2.08493673195263,2.62239687676019e-10,TRUE
"Cre04.g219050",-4.13944518228812,4.9571165311018e-39,TRUE
"Cre04.g219100",-3.71126649019368,9.66977407779738e-15,TRUE
"Cre04.g219150",-4.48436471668305,1.19742912461738e-43,TRUE
"Cre04.g220800",-3.52235112827092,3.00626074820051e-33,TRUE
"Cre04.g221770",2.7361241556978,8.26508995492394e-05,TRUE
"Cre04.g223300",2.19306602334424,0.00202929451189717,TRUE
"Cre04.g224200",-2.3317352797631,9.89599727451462e-41,TRUE
"Cre04.g224250",-2.35639808761457,1.75351456713981e-26,TRUE
"Cre04.g224650",-2.73289736649329,1.50618405869872e-29,TRUE
"Cre04.g224800",-3.3962797327868,3.48766163848789e-27,TRUE
"Cre04.g224850",2.12527459147617,4.54953292959212e-05,TRUE
"Cre04.g226600",-3.29098310771672,8.85969647879886e-07,TRUE
"Cre04.g226750",7.68929004781338,3.81942095276703e-29,TRUE
"Cre04.g227400",-4.43364987960805,1.73029046081204e-17,TRUE
"Cre04.g227600",3.02905950622802,0.00365506884861936,TRUE
"Cre04.g227950",-3.8219551582714,7.23042216229352e-30,TRUE
"Cre04.g228250",-2.06615907198221,7.37491436066234e-36,TRUE
"Cre05.g230700",2.26411942350609,0.00153469291991429,TRUE
"Cre05.g233600",2.49587316025715,5.16965199071005e-43,TRUE
"Cre05.g233850",2.36925334757416,7.67651826714233e-20,TRUE
"Cre05.g235355",-2.1996310237084,4.17010297450802e-08,TRUE
"Cre05.g235600",-2.28376359332227,1.34772648228478e-08,TRUE
"Cre05.g235800",-3.95773930115662,2.5509415349979e-37,TRUE
"Cre05.g235950",2.65086715103466,4.01062094962667e-10,TRUE
"Cre05.g238140",-2.0357136823849,1.24435253260924e-06,TRUE
"Cre05.g238550",-2.45461602647017,7.51515919272976e-33,TRUE
"Cre05.g238935",-2.62588663851637,5.83557102046897e-13,TRUE
"Cre05.g239350",-2.47428044500133,2.46353676510936e-13,TRUE
"Cre05.g239450",-2.02941496369888,3.04320661361134e-06,TRUE
